second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,fatigue_score,fatigue_level,slope,reward,lat,lon,elevation
2831,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.932786970102773,,flat,-2.064222523804879,45.182505,10.78838333,21.0
2832,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.9152644180443295,,flat,-1.9925165200472816,45.18253167,10.78839167,21.0
2833,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.926512166197525,,flat,-2.0309208118471056,45.18255667,10.78840333,21.0
2834,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.908859618142985,,flat,-1.8988690206377223,45.18258,10.78842,21.0
2835,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.920694544812886,,flat,-1.96237917865843,45.182605,10.78843667,21.0
2836,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.912609861728931,,flat,-1.9044921994977413,45.18262833,10.78845667,21.0
2837,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.895214901383499,,uphill,-1.9138138878221158,45.18265167,10.78847167,21.0
2838,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.9129023801225475,,downhill,-1.9128465965027732,45.18267667,10.788485,22.0
2839,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.907518889478982,,flat,-1.9539478075828682,45.182705,10.7885,21.0
2840,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.890163378906741,,flat,-1.799225800863307,45.18273333,10.788515,21.0
2841,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.908950094232162,,uphill,-1.8426806119753703,45.18275833,10.78852833,21.0
2842,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.894730339776985,,flat,-1.9248618107302549,45.18278167,10.78853833,22.0
2843,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.897944993087629,,flat,-1.9216900814019884,45.18280333,10.78854667,22.0
2844,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.902382624018894,,flat,-1.8173593430428499,45.18282833,10.78855333,22.0
2845,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.906854312038043,,flat,-1.9117723928002752,45.182855,10.78856,22.0
2846,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.906002529307161,,downhill,-1.9401503688945045,45.18288,10.788565,22.0
2847,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.908692726598623,,flat,-1.877834636536635,45.182905,10.78857167,21.0
2848,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.914381131550242,,flat,-1.8964931083232872,45.18293,10.78857333,21.0
2849,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.915147328523225,,flat,-1.8631863439861789,45.18295333,10.788565,21.0
2850,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.935305644379744,,flat,-1.9216736481977166,45.18297667,10.788555,21.0
2851,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.917244584011602,,flat,-2.0082292669373794,45.18299833,10.78854667,21.0
2852,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.93111864879686,,downhill,-2.0224151157889896,45.18302333,10.78854167,21.0
2853,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.933059407896618,,flat,-1.9852260331664637,45.18304667,10.78854333,20.0
2854,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.944128356965327,,flat,-1.9064559986449359,45.18307,10.78854667,20.0
2855,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.928340982210307,,flat,-1.9164637114172733,45.18309667,10.78855333,20.0
2856,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.944402033278933,,flat,-1.9670892202476447,45.18312,10.78855833,20.0
2857,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.929781254933404,,flat,-1.8844586463577422,45.183145,10.78856333,20.0
2858,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.914454475619621,,flat,-1.8649214841546369,45.18317,10.78856833,20.0
2859,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.920841074853639,,flat,-1.9023123692826607,45.18319167,10.78857167,20.0
2860,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.905296761077819,,flat,-1.8367899409078172,45.183215,10.788575,20.0
2861,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.916513426258524,,flat,-1.8701034374117904,45.18323833,10.78857833,20.0
2862,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.898754739730118,,flat,-1.9540336348205936,45.18326167,10.78857833,20.0
2863,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.883063620558553,,flat,-1.7711116616714528,45.183285,10.78858167,20.0
2864,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.901362274163542,,uphill,-1.967771365971268,45.18331167,10.788585,20.0
2865,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.915183034153408,,flat,-1.9246764483713383,45.18333833,10.78858667,21.0
2866,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.899585058797933,,flat,-1.978519706356603,45.183365,10.78858833,21.0
2867,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.9109771419358115,,flat,-1.9881831709222875,45.18339167,10.78859167,21.0
2868,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.918725396257217,,uphill,-1.9893653150672972,45.18342,10.788595,21.0
2869,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.903484082269508,,flat,-1.83538520198424,45.18344667,10.788595,22.0
2870,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.894853456063848,,flat,-1.8182766954487972,45.183475,10.7886,22.0
2871,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.883801448964754,,uphill,-1.8568803203241175,45.18350167,10.78860167,22.0
2872,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.870053800053778,,flat,-1.74946775359425,45.18353,10.78860667,23.0
2873,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.870623198912821,,flat,-1.7531168597772804,45.18355833,10.788615,23.0
2874,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.8599369355601985,,flat,-1.7369918735348406,45.18358667,10.78862167,23.0
2875,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.850864634455892,,flat,-1.8440514615835133,45.18362,10.78862833,23.0
2876,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.834448854150853,,flat,-1.8367234016420364,45.18364333,10.78863333,23.0
2877,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.840331237542681,,downhill,-1.8309715461454557,45.18367167,10.78863833,23.0
2878,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.852951766515669,,flat,-1.8959667653910408,45.18370167,10.78864667,22.0
2879,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.872717045942036,,flat,-1.8078864383147784,45.18372833,10.788655,22.0
2880,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.871331916770649,,flat,-1.9193160508154885,45.183755,10.78866667,22.0
2881,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.864541442310693,,downhill,-1.918402100983618,45.18378167,10.78867833,22.0
2882,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.871737072427543,,flat,-1.8987949099068295,45.18380833,10.78869,21.0
2883,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.85428919941047,,flat,-1.7172858443575454,45.18383333,10.7887,21.0
2884,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.841148300745594,,flat,-1.7125677802779458,45.18385667,10.78871333,21.0
2885,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.829520597162317,,flat,-1.7212897753717304,45.18388167,10.78872833,21.0
2886,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.829075802562907,,flat,-1.705770931751045,45.18390667,10.78874167,21.0
2887,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.813051281670978,,flat,-1.7932821979143119,45.18393,10.78875667,21.0
2888,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.817290373945797,,flat,-1.775668429519922,45.18395333,10.78876833,21.0
2889,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.805324989863987,,flat,-1.7188956689101496,45.18397667,10.78878167,21.0
2890,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.8266242502202354,,flat,-1.7230404066346443,45.18400167,10.78879167,21.0
2891,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.8473816173603215,,uphill,-1.846406767530037,45.18402833,10.788805,21.0
2892,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.863118401442331,,flat,-1.8956893315944963,45.184055,10.788815,22.0
2893,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.865861837074007,,flat,-1.8717410844121996,45.18408,10.788825,22.0
2894,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.856351574169318,,flat,-1.7735635177572748,45.18410667,10.78883167,22.0
2895,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.873871496892741,,uphill,-1.7752152040406215,45.18413333,10.78884,22.0
2896,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.8900208812297,,flat,-1.87451290698163,45.18415833,10.78885,23.0
2897,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.871875082787122,,flat,-1.890727697315579,45.184185,10.78886,23.0
2898,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.87648495604199,,flat,-1.8055865755562635,45.18421167,10.78886833,23.0
2899,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.867106481033835,,flat,-1.8507375432340503,45.18423667,10.78888,23.0
2900,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.884563326480053,,flat,-1.849869574398367,45.18426667,10.78889333,23.0
2901,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.866241572367693,,flat,-1.9165892908451156,45.184295,10.788905,23.0
2902,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.850491931709817,,flat,-1.7978594253288538,45.18432,10.78891667,23.0
2903,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.833459738197331,,flat,-1.7589304116941549,45.18434833,10.78892833,23.0
2904,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.8241560270926716,,flat,-1.675599488293977,45.18437333,10.78893667,23.0
2905,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.843693286269413,,flat,-1.7393719506374898,45.18440167,10.788945,23.0
