second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,fatigue_score,fatigue_level,slope,reward,lat,lon,elevation
95,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,flat,2.5858391664747185,45.18914333,10.790545,23.0
96,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,2.1950196052389055,45.18912667,10.79052667,23.0
97,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,flat,2.5456474056657528,45.18911167,10.79050333,24.0
98,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1387904887859945,45.18909667,10.79047833,24.0
99,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,2.102661352645752,45.18907833,10.79045667,24.0
100,warmup,low,keep going,Z1,Z1,Z1,Z1,0.002793595414427105,,flat,2.6568410361761865,45.18906333,10.790435,25.0
101,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.181089158871989,45.18904833,10.79041667,25.0
102,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.19180989907532,45.18903833,10.79040167,25.0
103,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.275781666331838,45.18902667,10.79039,25.0
104,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1154302391160065,45.18900833,10.79038333,25.0
105,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1816287547583535,45.18898333,10.79038333,25.0
106,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.131236457420799,45.18895667,10.79039,25.0
107,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2460868079480445,45.18893,10.79039167,25.0
108,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0002452135619983968,,flat,2.103501927932184,45.188905,10.79038833,25.0
109,warmup,low,slow down,Z1,Z1,Z1,Z1,0.002849731071683022,,flat,2.133305903976049,45.18888167,10.79038833,25.0
110,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2796530687640053,45.18885667,10.79038833,25.0
111,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,2.133813254766895,45.18883833,10.79038333,25.0
112,warmup,low,keep going,Z1,Z1,Z1,Z1,0.021823204081528234,,flat,2.6097282329091653,45.18882,10.79038167,26.0
113,warmup,low,slow down,Z1,Z1,Z1,Z1,0.015951463751412126,,flat,2.213665749768169,45.18879833,10.79038167,26.0
114,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.235087768145146,45.18878,10.79038167,26.0
